price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng,Mặt tiền
11 tỷ VNĐ,"Đường Cẩm Văn, Kim Liên, Đống Đa", 55m2, 2, 6, 3, 5,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472715.6176462,,
78 triệu VNĐ/m2,"Số 93 Láng Hạ, quận Đống Đa, Hà Nội", 86m2,,, 2, 2,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472717.6008677, Đông bắc,
"1,85 tỷ VNĐ","Đường Quang Trung, Quang Trung, Hà Đông", 63m2, 30, 21, 2, 2,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472719.8566203,, 4
"4,2 tỷ VNĐ",đường Phú Diễn, 52m2, 4, 4, 4,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472721.4781473,, 4
"9,5 tỷ VNĐ","Đường Nguyễn Xiển, Thanh Xuân Bắc, Thanh Xuân", 50m2, 6, 4, 5, 4,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472724.32921,, 4
"15,1 tỷ VNĐ",Quận Ba Đình, 50m2,,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472725.8958488,,
"3,3 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 67m2, 10, 4, 4, 4,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472728.3145838,, 4
"14,6 tỷ VNĐ","Đường Lâm hạ, Bồ Đề, Long Biên", 75m2, 10, 6, 4, 6,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472730.5958493,, 4
"17,5 tỷ VNĐ","Đường Đê La Thành, Láng Hạ, Đống Đa", 162m2, 50, 2, 4, 3,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472733.6985152, Đông nam, 16
"8,7 tỷ VNĐ","Bồ Đề, Long Biên", 60m2,, 5, 4, 3,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472736.3900125,, 4
22 tỷ VNĐ,"Đường Bưởi, Cống Vị, Ba Đình", 55m2, 8, 10, 10, 10,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472738.6093173,, 5
"14,1 tỷ VNĐ",Hoàng Hoa Thám- Hà Đông, 57m2,,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472740.9921536,, 6
"14,2 tỷ VNĐ",Lê Lợi- Hà Đông, 57m2,,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472743.3274713,, 6
"4,35 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 36m2, 1, 5, 4, 3,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472746.527963,, 3
"3,65 tỷ VNĐ","Đường Trương Định, Trương Định, Hai Bà Trưng", 35m2, 3, 5, 3, 4,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472749.4293318,, 3
"11,5 tỷ VNĐ","Đường Lâm Hạ, Bồ Đề, Long Biên", 90m2,,,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472751.8658664,, 5
"11,5 tỷ VNĐ",Trần Thái Tông Cầu Giấy, 115m2,,,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472753.992341,, 4
"11,5 tỷ VNĐ",Nguyễn Khang Yên Hòa Cầu Giấy, 109m2,,,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472756.4711998,, 5
"4,7 tỷ VNĐ",Nguyễn An Ninh - Hoàng Mai - Hà Nội, 63m2,,,,,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472758.8060966,, 4
"6,2 tỷ VNĐ","Đường Võ Chí Công, Nhật Tân, Tây Hồ", 57m2, 3, 2, 3, 2,30/10/2022,Tin thường,batdongsan_so_com_vn_1670472761.403313,, 4
