price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"6,5 tỷ VNĐ",Kim Mã, 41m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471022.3316915,,,,,,
"8,5 tỷ VNĐ","Bế Văn Đàn, Hà Đông.", 75m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471024.2067037, 3, 5, 6, 7,,
"3,95 tỷ VNĐ",Lạc Long Quân, 62m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471042.8850188,,,,,,
"5,8 tỷ VNĐ","Đường Nguyễn Khuyến, Văn Miếu, Đống Đa", 28m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471045.347745, 5, 4, 3, 4, 4,
"3,35 tỷ VNĐ","Đường Vĩnh Hưng, Vĩnh Hưng, Hoàng Mai", 33m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471047.7221322, 4, 6, 4, 5, 2,
11 tỷ VNĐ,"Đường Tân Mai, Tương Mai, Hoàng Mai", 40m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471049.8808846,, 8, 4, 10, 2,
"7,7 tỷ VNĐ","Nguyễn Văn Cừ, Long Biên", 60m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471051.838174,, 5, 6,,,
18 triệu VNĐ/m2,"Đông Sơn, Chương Mỹ, Hà Nội", 83m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471054.056082, 5,,,, 9, Đông
"1,2 tỷ VNĐ","Đường Ngọc Hồi, Ngọc Hồi, Thanh Trì", 59m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471056.6477714, 8, 10, 2, 2, 5,
350 triệu VNĐ,"Đường Lê Văn Lương, Nhân Chính, Thanh Xuân", 1000m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471059.021941, 100,,,, 1,
10 ngàn VNĐ,"Đường Láng, Láng Thượng, Đống Đa", 53m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471061.4732387, 4, 6, 10, 11, 3,
"3,2 tỷ VNĐ","Đường Đội cấn, Ngọc Hà, Ba Đình", 35m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471063.63276, 3, 2, 2, 1, 6,
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471065.9442246, 6,,,,,
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471068.458505, 10,,,,,
"11,5 tỷ VNĐ","Đường Yên Lãng, Trung Liệt, Đống Đa", 65m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471070.2285397, 4,,,, 1,
15 tỷ VNĐ,"Vinhomes Ocean Park, Gia Lâm, Hà Nội", 70m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471072.8271127, 5, 5,,, 40,
"6,2 tỷ VNĐ","Đường Đê La Thành, Phương Liên, Đống Đa", 46m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471075.4662552, 4, 4, 4,, 5,
8 tỷ VNĐ,"Đường Vũ Tông Phan, Khương Trung, Thanh Xuân", 45m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471077.8030167, 4, 6, 4, 4, 1,
8 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471081.9658823, 4, 6, 4, 4, 1,
