price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"9,3 tỷ VNĐ",Phường Dịch Vọng Hậu, 40m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466984.6169224,,,,,,
35 tỷ VNĐ,Tô Ngọc Vân Tây Hồ, 119m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466987.0716927, 8, 5, 3, 3,,
"1,4 tỷ VNĐ","Đường Quốc lộ 21B, Phú La, Hà Đông", 40m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466988.79558, 4, 3, 4, 3, 3,
"7,5 tỷ VNĐ","Phố Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội", 42m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466991.2773614, 3, 4, 3,,,
50 tỷ VNĐ,"Đường Hàng Đậu, Đồng Xuân, Hoàn Kiếm", 90m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466993.7145617, 5, 4, 6, 6, 1,
5 tỷ VNĐ,17, 46m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466996.6694417, 10,,,, 6,
"2,25 tỷ VNĐ","Đường Đông Hội, Đông Hội, Đông Anh", 45m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670466999.1578772, 5, 3, 3, 2, 3,
66 tỷ VNĐ,"Đường Văn Quán, Văn Quán, Hà Đông", 225m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467001.5446725, 30, 3, 6, 6, 15,
11 tỷ VNĐ,"Đường Văn Cao, Liễu Giai, Ba Đình", 45m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467003.969294, 4, 5, 5, 4, 8,
"24,6 tỷ VNĐ","Đường Phúc La - Văn Phú, Phú La, Hà Đông", 184m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467007.4828675, 8, 4, 5, 5, 22,
,"Đường Quốc lộ 23, Mê Linh, Mê Linh",,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467009.3730197,,,,, 20,
3 tỷ VNĐ,"Đường Nguyễn Văn Linh, Sài Đồng, Long Biên", 33m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467012.0181212, 4, 5, 3, 4, 3,
"2,2 tỷ VNĐ","Đường Tố Hữu, La Khê, Hà Đông", 74m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467013.8483891, 4, 15, 2, 2, 20,
"8,2 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Đình, Thanh Xuân", 48m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467016.2563012, 43, 4, 4, 4, 5,
"15,9 tỷ VNĐ","Đường Nhân Mỹ, Mỹ Đình 2, Nam Từ Liêm", 118m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467018.0659218, 30,,,,,
"14,5 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 50m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467020.6003625,, 8, 6, 7, 5,
16 tỷ VNĐ,"Đường Võ Văn Dũng, Ô Chợ Dừa, Đống Đa", 60m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467023.3298898, 5, 5, 7,, 1,
"21,8 tỷ VNĐ",Đường 19/5, 175m2,11/10/2022,Tin thường,batdongsan_so_com_vn_1670467026.6270998, 3, 1, 1, 1, 15, Đông nam
"35,5 tỷ VNĐ",DG06, 130m2,11/10/2022,Tin thường,batdongsan_so_com_vn_1670467030.7256541, 10, 7, 10, 10, 20, Tây nam
"2,52 tỷ VNĐ","Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội", 39m2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467033.3412747, 4,,,,,
