price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
,"Khúc Thừa Dụ, Cầu Giấy", 50m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500732.9132001,,,,,,
"2,5 tỷ VNĐ","Hà Đông, Hà Nội", 50m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500734.0780847,,,,,,
"4,8 tỷ VNĐ","Lương Khánh Thiện, Hoàng Mai, Hà Nội", 52m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500734.9468906, 4, 5, 6, 5,,
15 tỷ VNĐ,Đường Nguyễn Phúc Lai phường Hàng Bột, 50m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500735.9592183, 4, 7, 10, 5, 7,
6 tỷ VNĐ,Khương Trung, 56m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500737.0273695,, 5,,,,
"2,2 tỷ VNĐ",Đường Di Ái phường Di Trạch, 42m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500737.895146, 4,,,,,
"6,4 tỷ VNĐ",Lê Hồng Phong Hà cầu, 55m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500739.1329362, 3, 5, 6, 7, 14, Tây bắc
"5,45 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 60m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500740.2150424, 3, 2, 4, 4, 4,
6 tỷ VNĐ,Khương Đình, 55m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500741.0996766,, 5,,,,
,"Nhà mặt phố Nguyễn Phong Sắc, Cầu Giấy", 65m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500742.169862,,,,,,
"3,2 tỷ VNĐ",Đường Đông Thiên phường Vĩnh Hưng, 35m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500743.15831, 4, 5, 4, 4, 3,
6 tỷ VNĐ,Vũ Tông Phan, 56m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500744.086829, 5, 5,,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500745.8783436,, 10, 1, 1,,
"9,5 tỷ VNĐ",Đường Hoa Bằng phường Yên Hòa, 31m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500746.8417687, 9, 7, 4, 6, 6,
"2,3 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 70m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500747.8301241,, 7, 2, 2, 1,
"12,9 tỷ VNĐ",Đường Đỗ Quang phường Trung Hòa, 55m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500749.0910006, 4, 5, 5, 4, 15,
"3,5 tỷ VNĐ",Đường Phan Đình Giót phường La Khê, 33m2,18/05/2022,Tin thường,batdongsan_so_com_vn_1670500750.146129, 3, 4, 3, 3, 2,
,Thanh lâm- mê linh- hà nội, 77m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500750.9563692, 5,,,, 5, Đông nam
"1,95 triệu VNĐ","đa tốn, gia lâm", 60m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500753.0587468,, 9, 2, 2,,
,kim hoa- mê linh- hà nội, 120m2,19/08/2022,Tin thường,batdongsan_so_com_vn_1670500754.0381262,,,,,,
