price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới,Hướng
"3,223 tỷ VNĐ",Trần Bình, 40m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509469.9616015,,,,,,
"7,5 tỷ VNĐ",trần phú, 50m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509471.2092702, 4, 4, 4, 3,,
14 tỷ VNĐ,"Văn Khê, Hà Đông, Hà Nội.", 82m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509472.1443071, 5, 4, 4,, 40,
"4,125 tỷ VNĐ",Đường Lê Hữu Tựu phường Nguyên Khê, 75m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509477.278104, 5,,,,,
"7,8 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 71m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509478.1123817, 5, 3, 5, 5, 5,
4 tỷ VNĐ,Đường Tân Mai phường Tân Mai, 45m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509479.239523, 5, 5, 4, 4, 2,
"10,92 tỷ VNĐ",Đường 23B phường Tiên Dương, 195m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509481.1696138, 10,,,,,
"7,6 tỷ VNĐ",phường Khương Đình, 52m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509482.2862127,,,,,,
"3,4 tỷ VNĐ","Việt Hưng, Long Biên, Hà Nội", 50m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509483.2564802, 4, 4, 3,, 4,
"1,8 tỷ VNĐ",Đường Vũ Lăng phường Tứ Hiệp, 70m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509485.0925684, 7, 16, 2, 2, 10,
4 tỷ VNĐ,Hạ Đình, 35m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509486.4079099, 4, 5, 5,,,
"2,9 tỷ VNĐ",đông ngạc, 32m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509487.727279, 5,,,, 5,
"2,1 tỷ VNĐ",the pride tố hữu hà đông, 88m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509489.3130455,, 10, 2, 2,, Tây bắc
12 tỷ VNĐ,"Xuân La, Tây Hồ, Hà Nội", 60m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509490.637059,,,,,,
"4,45 tỷ VNĐ",Minh Khai, 38m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509491.7774599, 4, 5, 3, 4, 4,
"6,4 tỷ VNĐ","Xuân La, Tây Hồ, Hà Nội", 60m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509492.8970096,,,,,,
4 tỷ VNĐ,Thượng Đình, 35m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509493.9904566,, 5, 4,,,
"4,4 tỷ VNĐ","Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm", 104m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509495.1190248,,,,,,
"5,6 tỷ VNĐ",Kẻ Tạnh, 56m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509496.168938,,,,,,
"3,95 tỷ VNĐ",Đại La, 30m2,06/07/2022,Tin thường,batdongsan_so_com_vn_1670509497.1787481,, 5, 3, 4,,
